,MSZoning,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition_1,Condition_2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior_1st,Exterior_2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType_1,BsmtFinType_2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,YearSinceRemod,TotBathrooms
200,RM,8546,No_Alley,4,Lvl,Corner,1,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,1121,GasA,Ex,Y,SBrkr,1121,2,1,5,0,Attchd,3,2,3,132,64,0,0,0,0,No_Fence,None,3,2010,WD,Normal,140000,6,2.0
201,RL,10125,No_Alley,4,Lvl,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,Gable,CompShg,Plywood,Plywood,None,0.0,CBlock,No,ALQ,LwQ,1196,GasA,TA,Y,SBrkr,1279,3,1,6,2,Detchd,2,2,3,238,83,0,0,0,0,MnPrv,None,2,2008,WD,Normal,171500,31,2.5
202,RL,7000,No_Alley,4,Lvl,Corner,1,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,LwQ,Unf,617,GasA,Gd,Y,SBrkr,1310,2,1,6,0,Attchd,2,1,3,0,0,126,0,0,0,No_Fence,None,5,2006,COD,Normal,112000,56,2.0
203,RM,4438,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,PConc,Av,GLQ,Unf,848,GasA,Ex,Y,SBrkr,848,1,1,3,1,Attchd,3,2,3,149,0,0,0,0,0,No_Fence,None,1,2008,WD,Normal,149000,4,2.0
204,RM,3500,Grvl,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,Gable,CompShg,AsbShng,AsbShng,None,0.0,CBlock,No,LwQ,Unf,720,GasA,TA,Y,SBrkr,1284,2,1,5,0,Detchd,2,1,3,0,35,0,0,0,0,MnWw,None,4,2009,WD,Normal,110000,59,1.5
205,RL,11851,No_Alley,4,Lvl,Corner,1,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,No,Unf,Unf,1424,GasA,Ex,Y,SBrkr,1442,3,1,5,0,Attchd,3,2,3,0,34,0,508,0,0,No_Fence,None,5,2009,WD,Normal,180500,19,2.0
206,RL,13673,No_Alley,3,Lvl,CulDSac,1,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,Unf,Unf,1140,GasA,TA,Y,SBrkr,1696,3,1,8,1,Attchd,3,1,3,0,30,0,0,0,0,No_Fence,None,3,2007,WD,Normal,143900,45,1.5
207,RL,12493,No_Alley,3,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,No,ALQ,Rec,1100,GasA,TA,Y,SBrkr,1100,3,1,6,1,Attchd,3,1,3,355,0,0,0,0,0,GdWo,None,4,2008,WD,Normal,141000,48,2.0
208,RL,14364,No_Alley,3,Low,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1988,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,CBlock,Gd,GLQ,Unf,1157,GasA,Ex,Y,SBrkr,2062,3,1,7,1,Attchd,4,2,3,60,55,0,0,154,0,No_Fence,None,4,2007,WD,Normal,277000,18,3.5
209,RL,8250,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,CBlock,No,Rec,Unf,1092,GasA,Ex,Y,SBrkr,1092,3,1,6,0,Attchd,3,2,3,0,0,0,0,0,0,MnPrv,None,7,2008,WD,Normal,145000,44,2.0
210,RL,5604,No_Alley,4,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,Gable,CompShg,Stucco,Stucco,None,0.0,CBlock,No,Rec,Unf,864,GasA,TA,N,FuseA,864,2,1,5,0,No_Garage,1,0,3,0,0,96,0,0,0,No_Fence,None,4,2008,WD,Normal,98000,58,2.0
211,RL,10420,No_Alley,4,Lvl,Corner,1,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Mn,GLQ,Unf,1212,GasA,Ex,Y,SBrkr,1212,3,1,6,0,Attchd,3,2,3,100,22,0,0,0,0,No_Fence,None,3,2010,WD,Normal,186000,1,2.0
212,FV,8640,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,900,GasA,Ex,Y,SBrkr,1852,3,1,7,1,Attchd,3,2,3,168,108,0,0,0,0,No_Fence,None,7,2009,New,Partial,252678,0,3.5
213,RL,13568,No_Alley,2,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,ALQ,Unf,990,GasA,Ex,Y,SBrkr,990,3,1,5,0,Attchd,2,2,3,224,0,0,0,0,0,No_Fence,None,7,2006,WD,Normal,156000,11,1.5
214,RL,10900,No_Alley,3,Lvl,FR2,1,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,CBlock,No,GLQ,Unf,689,GasA,Ex,Y,SBrkr,1392,3,1,6,0,Attchd,4,1,3,0,36,0,0,0,0,MnPrv,Shed,3,2010,WD,Normal,161750,33,1.5
215,RL,10011,No_Alley,3,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,CBlock,No,BLQ,Unf,1070,GasA,TA,Y,SBrkr,1236,2,1,6,1,Attchd,2,1,3,0,0,0,0,0,0,MnPrv,None,5,2006,WD,Normal,134450,10,1.5
216,RL,8450,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,PConc,Mn,GLQ,Unf,1436,GasA,Ex,Y,SBrkr,1436,3,1,8,0,Attchd,2,2,3,139,98,0,0,0,0,No_Fence,None,4,2008,WD,Normal,210000,4,3.0
217,RM,9906,Grvl,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Unf,Unf,686,GasA,Fa,N,SBrkr,1328,3,1,8,0,Detchd,2,1,3,0,172,60,0,0,0,No_Fence,None,9,2006,WD,Family,107000,56,1.0
218,RL,15660,No_Alley,3,Lvl,Corner,1,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,CBlock,No,BLQ,Unf,798,GasA,Ex,Y,SBrkr,1954,3,1,8,2,Attchd,2,2,3,0,119,150,0,0,0,No_Fence,None,5,2008,WD,Normal,311500,2,2.0
219,RL,3010,No_Alley,4,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,PConc,Av,GLQ,Unf,1248,GasA,Ex,Y,SBrkr,1248,2,1,5,0,Attchd,4,2,3,108,0,0,0,0,0,No_Fence,None,3,2006,New,Partial,167240,0,2.0
220,RL,8990,No_Alley,3,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Mn,Unf,Unf,1498,GasA,Ex,Y,SBrkr,1498,2,1,5,0,Attchd,3,2,3,351,33,0,0,0,0,No_Fence,None,4,2006,New,Partial,204900,0,2.0
221,RL,8068,No_Alley,3,Lvl,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,1010,GasA,Ex,Y,SBrkr,2267,4,1,8,1,BuiltIn,3,2,3,120,46,0,0,0,0,No_Fence,None,12,2009,ConLI,Normal,200000,7,2.5
222,RL,11475,No_Alley,4,Lvl,Inside,1,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,ALQ,Unf,713,GasA,TA,Y,SBrkr,1552,3,1,6,1,Attchd,3,2,3,209,208,0,0,0,0,MnPrv,None,2,2006,WD,Normal,179900,31,3.5
223,RL,10500,No_Alley,4,Lvl,FR2,1,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,ALQ,LwQ,864,GasA,Gd,Y,SBrkr,864,2,1,4,0,Detchd,2,2,3,216,0,0,0,0,0,No_Fence,None,3,2009,WD,Abnorml,97000,38,1.0
224,RL,13472,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,PConc,Gd,GLQ,Unf,2392,GasA,Ex,Y,SBrkr,2392,3,1,8,1,Attchd,4,3,3,248,105,0,0,0,0,No_Fence,None,6,2009,WD,Normal,386250,6,2.0
225,RM,1680,No_Alley,4,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,CBlock,No,Unf,Unf,630,GasA,TA,Y,SBrkr,1302,3,1,6,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,5,2009,COD,Abnorml,112000,38,2.5
226,RL,9950,No_Alley,3,Lvl,Inside,1,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,PConc,No,GLQ,Unf,1203,GasA,Ex,Y,SBrkr,2520,4,1,9,1,Attchd,3,3,3,224,114,0,0,0,0,No_Fence,None,6,2007,WD,Abnorml,290000,12,2.5
227,RM,1869,No_Alley,4,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,CBlock,No,Rec,Unf,483,GasA,TA,Y,SBrkr,987,2,1,5,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,9,2008,WD,Normal,106000,38,1.5
228,RL,8521,No_Alley,4,Lvl,FR2,1,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,ALQ,Unf,912,GasA,TA,Y,SBrkr,912,3,1,5,1,Detchd,2,1,3,0,0,0,0,0,0,MnPrv,None,5,2010,WD,Normal,125000,43,1.0
229,RL,3182,No_Alley,4,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,PConc,Av,GLQ,Unf,1373,GasA,Ex,Y,SBrkr,1555,2,1,7,1,Attchd,4,2,3,143,20,0,0,0,0,No_Fence,None,5,2009,WD,Normal,192500,3,2.0
230,RL,8760,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,CBlock,No,Unf,Unf,1194,GasA,TA,Y,SBrkr,1194,3,1,6,0,Attchd,3,1,3,0,0,120,0,0,0,No_Fence,None,4,2010,WD,Normal,148000,51,2.0
231,RL,15138,No_Alley,3,Lvl,Inside,1,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,PConc,No,GLQ,Unf,1462,GasA,Ex,Y,SBrkr,2794,4,1,9,1,Attchd,4,3,3,0,146,202,0,0,0,No_Fence,None,7,2009,WD,Normal,403000,13,3.5
232,RM,1680,No_Alley,4,Lvl,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,CBlock,No,Unf,Unf,483,GasA,TA,Y,SBrkr,987,2,1,5,1,Attchd,2,1,3,0,0,0,0,0,0,No_Fence,None,6,2006,WD,Normal,94500,34,1.5
233,RL,10650,No_Alley,4,Lvl,Corner,1,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,Av,LwQ,ALQ,894,GasA,TA,Y,SBrkr,894,3,1,5,0,Attchd,2,1,3,365,0,0,0,0,0,MnPrv,None,2,2010,WD,Normal,128200,34,2.0
234,RL,7851,No_Alley,4,Lvl,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,860,GasA,Ex,Y,SBrkr,1960,4,1,8,2,BuiltIn,4,2,3,288,48,0,0,0,0,No_Fence,None,5,2010,WD,Normal,216500,8,3.5
235,RM,1680,No_Alley,4,Lvl,Inside,1,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,CBlock,No,ALQ,Unf,483,GasA,TA,Y,SBrkr,987,2,1,5,0,Detchd,2,1,3,0,0,0,0,0,0,No_Fence,None,8,2008,WD,Normal,89500,37,1.5
236,RL,8773,No_Alley,4,Lvl,FR2,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,PConc,Av,GLQ,Unf,1414,GasA,Ex,Y,SBrkr,1414,3,1,6,0,Attchd,3,2,3,132,105,0,0,0,0,No_Fence,None,5,2010,WD,Normal,185500,6,2.0
237,RL,9453,No_Alley,3,Lvl,CulDSac,1,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,PConc,No,BLQ,Unf,996,GasA,Ex,Y,SBrkr,1744,3,1,7,0,Attchd,3,2,3,370,70,0,238,0,0,No_Fence,None,2,2010,WD,Normal,194500,7,2.5
238,RL,12030,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,PConc,No,Unf,Unf,1694,GasA,Ex,Y,SBrkr,1694,3,1,7,0,Attchd,4,3,3,168,228,0,0,0,0,No_Fence,None,12,2007,New,Partial,318000,0,2.0
239,RL,8741,No_Alley,4,Lvl,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,LwQ,Unf,735,GasA,TA,Y,FuseA,1487,3,1,7,1,Detchd,2,1,3,0,140,0,0,0,0,MnPrv,None,4,2010,WD,Normal,113000,60,1.5
240,FV,9000,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,PConc,Av,GLQ,Unf,1566,GasA,Ex,Y,SBrkr,1566,3,1,7,0,Attchd,3,2,3,144,168,0,0,0,0,No_Fence,None,4,2010,WD,Normal,262500,2,3.0
241,RM,3880,No_Alley,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,ALQ,Unf,686,GasA,Gd,Y,SBrkr,866,2,1,4,0,No_Garage,1,0,3,58,42,0,0,0,0,No_Fence,None,8,2007,WD,Normal,110500,10,1.0
242,RM,5000,No_Alley,4,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,Unf,Unf,540,GasA,Gd,N,FuseA,1440,3,1,6,0,Attchd,2,1,3,0,0,77,0,0,0,No_Fence,None,4,2006,WD,Normal,79000,56,1.0
243,RL,10762,No_Alley,4,Lvl,Corner,1,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,Gable,CompShg,Plywood,Plywood,None,0.0,CBlock,No,Unf,Unf,626,GasA,TA,Y,SBrkr,1217,3,1,6,1,Attchd,3,1,3,0,28,0,0,0,0,No_Fence,None,4,2009,WD,Normal,120000,29,1.5
244,RL,8880,No_Alley,3,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,948,GasA,Ex,Y,SBrkr,2110,3,1,8,2,Attchd,3,2,3,0,130,0,0,0,0,No_Fence,None,5,2010,WD,Normal,205000,8,3.5
245,RL,10400,No_Alley,4,Lvl,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,CBlock,Av,GLQ,Unf,1845,GasA,Gd,Y,SBrkr,1872,3,1,6,1,Attchd,4,2,3,197,39,0,0,0,0,No_Fence,None,6,2006,WD,Normal,241500,18,2.5
246,RM,9142,Grvl,4,Lvl,Inside,1,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,Gable,CompShg,AsbShng,AsbShng,None,0.0,Stone,No,Unf,Unf,1020,GasA,Gd,N,FuseP,1928,4,2,9,0,Detchd,2,1,3,0,60,112,0,0,0,No_Fence,None,4,2006,WD,Normal,137000,56,2.0
247,RL,11310,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,CBlock,No,Unf,Unf,1367,GasA,Ex,Y,SBrkr,1375,2,1,5,1,Attchd,2,2,3,0,30,0,0,0,0,No_Fence,None,6,2006,WD,Normal,140000,52,1.0
248,RL,11317,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,PConc,No,Unf,Unf,840,GasA,Ex,Y,SBrkr,1668,3,1,8,0,Attchd,3,2,3,144,68,0,0,0,0,No_Fence,None,9,2007,WD,Normal,180000,4,2.5
249,RL,159000,No_Alley,2,Low,CulDSac,3,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,CBlock,Gd,Rec,Unf,1444,GasA,Gd,Y,SBrkr,2144,4,1,7,2,Attchd,4,2,3,0,98,0,0,0,0,No_Fence,Shed,6,2007,WD,Normal,277000,1,2.5
250,RL,5350,No_Alley,3,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,Gable,CompShg,Wd Sdng,Plywood,None,0.0,CBlock,No,Unf,Unf,728,GasA,Ex,Y,SBrkr,1306,3,1,6,0,No_Garage,1,0,3,263,0,0,0,0,0,GdWo,Shed,5,2010,WD,Normal,76500,44,1.0
251,RM,4750,No_Alley,3,HLS,Inside,2,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,PConc,Gd,GLQ,Unf,1573,GasA,Ex,Y,SBrkr,1625,2,1,5,1,Attchd,4,2,3,123,0,0,0,153,0,No_Fence,None,12,2007,WD,Family,235000,0,3.5
252,RL,8366,No_Alley,3,Lvl,Inside,1,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,798,GasA,Ex,Y,SBrkr,1640,3,1,6,0,Attchd,3,2,3,138,45,0,0,0,0,No_Fence,None,12,2008,WD,Normal,173000,4,2.5
253,RL,9350,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,Hip,CompShg,HdBoard,HdBoard,BrkFace,108.0,CBlock,Gd,LwQ,ALQ,1302,GasA,Ex,Y,SBrkr,1302,3,1,7,0,Attchd,3,1,3,333,0,0,0,0,0,MnPrv,None,10,2007,CWD,Normal,158000,16,2.5
254,RL,8400,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Rec,Unf,1314,GasA,TA,Y,SBrkr,1314,3,1,5,0,Attchd,3,1,3,250,0,0,0,0,0,No_Fence,None,6,2010,WD,Normal,145000,53,2.0
255,RL,8738,No_Alley,3,Lvl,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,PConc,No,Unf,Unf,975,GasA,Ex,Y,SBrkr,2291,4,1,8,1,BuiltIn,4,2,3,192,0,0,0,0,0,No_Fence,None,2,2006,WD,Normal,230000,7,2.5
256,FV,8791,No_Alley,3,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Rec,Unf,864,GasA,Ex,Y,SBrkr,1728,3,1,7,0,Attchd,3,2,3,216,56,0,0,0,0,No_Fence,None,5,2008,WD,Normal,207500,5,2.5
257,RL,8814,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,PConc,No,GLQ,Unf,1604,GasA,Ex,Y,SBrkr,1604,3,1,8,1,Attchd,3,2,3,123,110,0,0,0,0,No_Fence,None,3,2009,WD,Abnorml,220000,3,3.5
258,RL,12435,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,PConc,No,GLQ,Unf,963,GasA,Ex,Y,SBrkr,1792,3,1,7,1,Attchd,3,2,3,0,96,0,245,0,0,No_Fence,None,5,2008,WD,Normal,231500,7,2.5
259,RM,12702,No_Alley,4,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,PConc,No_basement,No_basement,No_basement,0,GasA,Gd,Y,FuseA,882,2,1,4,0,Detchd,2,1,3,0,45,0,0,0,0,No_Fence,None,12,2008,WD,Normal,97000,52,1.0
260,RL,19296,No_Alley,4,Lvl,Corner,1,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,CBlock,Gd,Rec,ALQ,1362,GasA,TA,Y,SBrkr,1382,3,1,6,1,Attchd,2,2,3,0,0,252,0,0,0,GdWo,None,5,2009,WD,Normal,176000,47,2.0
261,RL,9588,No_Alley,3,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,PConc,No,Unf,Unf,1482,GasA,Ex,Y,SBrkr,2574,3,1,10,1,BuiltIn,4,3,3,0,148,0,0,0,0,No_Fence,None,11,2007,New,Partial,276000,0,2.5
262,RL,8471,No_Alley,3,Lvl,Corner,1,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,CBlock,Av,ALQ,Unf,506,GasA,TA,Y,SBrkr,1212,3,1,6,1,Attchd,2,2,3,292,12,0,0,0,0,GdWo,None,7,2006,WD,Normal,151000,11,2.0
263,RM,5500,No_Alley,4,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,LwQ,ALQ,926,GasA,TA,Y,SBrkr,1316,3,1,6,0,Detchd,2,2,3,0,0,0,0,0,0,No_Fence,None,4,2010,WD,Normal,130000,9,2.0
264,RM,5232,Grvl,1,Bnk,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,Unf,Unf,680,GasA,Gd,N,FuseP,764,2,1,4,0,Detchd,2,2,1,0,0,0,0,0,0,No_Fence,None,6,2008,WD,Normal,73000,4,1.0
265,RL,12090,No_Alley,3,Lvl,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,CBlock,No,GLQ,LwQ,1422,GasA,TA,Y,SBrkr,1422,3,1,7,1,Attchd,4,2,3,276,0,0,0,0,0,GdPrv,None,6,2008,WD,Normal,175500,27,2.0
266,RL,11207,No_Alley,3,HLS,FR2,1,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,GLQ,Unf,802,GasA,Gd,Y,SBrkr,1511,3,1,8,1,Attchd,4,2,3,95,75,0,0,0,0,No_Fence,None,6,2006,WD,Normal,185000,9,3.5
267,RL,8400,No_Alley,4,Bnk,Inside,2,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,No,LwQ,Unf,720,GasA,Ex,Y,SBrkr,2192,4,1,8,1,Detchd,2,1,3,262,24,0,0,0,0,No_Fence,None,7,2008,WD,Normal,179500,11,2.5
268,RM,6900,No_Alley,4,Lvl,Inside,1,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,ALQ,Rec,740,GasA,Ex,Y,SBrkr,778,2,1,4,1,Detchd,4,1,3,0,25,0,0,0,0,No_Fence,None,2,2008,WD,Normal,120500,53,1.0
269,RL,7917,No_Alley,3,Lvl,Corner,1,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,CBlock,No,BLQ,Unf,1143,GasA,TA,Y,SBrkr,1113,3,1,6,1,Attchd,3,1,3,370,30,0,0,0,0,GdPrv,None,5,2007,WD,Normal,148000,31,2.5
270,FV,10728,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Mn,Unf,Unf,1095,GasA,Gd,Y,SBrkr,1939,3,1,8,1,Attchd,3,3,3,192,51,0,0,0,0,No_Fence,None,8,2006,New,Partial,266000,0,2.5
271,RL,39104,No_Alley,3,Low,CulDSac,3,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,Flat,Membran,Plywood,Plywood,None,0.0,CBlock,Gd,LwQ,GLQ,1385,GasA,Ex,Y,SBrkr,1363,2,1,5,2,Attchd,2,2,3,81,0,0,0,0,0,No_Fence,None,4,2008,WD,Normal,241500,3,2.0
272,RL,11764,No_Alley,3,Lvl,CulDSac,1,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,PConc,No,GLQ,Unf,1152,GasA,Ex,Y,SBrkr,2270,4,1,9,1,Attchd,4,3,3,132,57,0,0,0,0,No_Fence,None,4,2010,WD,Normal,290000,3,2.5
